Kode_Item,Nama_Item,Kode_Transaksi,qty,harga,sub_total
OBT01800,Obat Optio,TRX000086,1,198939,198939
OBT00131,Obat Similique,TRX000086,3,137732,413196
OBT00427,Obat Atque,TRX000087,2,199982,399964
OBT00256,Obat Vel,TRX000087,3,7705,23115
OBT01041,Obat Ipsa,TRX000087,3,133134,399402
OBT00263,Obat Dolorem,TRX000087,3,60631,181893
OBT01120,Obat Tempora,TRX000088,2,156926,313852
OBT01558,Obat Illum,TRX000088,1,151656,151656
OBT01560,Obat Vero,TRX000089,2,115640,231280
OBT01800,Obat Optio,TRX000089,3,198939,596817
OBT01790,Obat Commodi,TRX000089,3,91308,273924
OBT00887,Obat Accusamus,TRX000090,3,193450,580350
OBT01827,Obat Temporibus,TRX000090,1,194401,194401
OBT00487,Obat Illo,TRX000091,1,184892,184892
OBT01537,Obat Modi,TRX000091,2,98780,197560
OBT01815,Obat Quidem,TRX000092,1,44133,44133
OBT00968,Obat Commodi,TRX000093,2,116381,232762
OBT01021,Obat Illum,TRX000094,1,142042,142042
OBT00642,Obat Placeat,TRX000094,3,161195,483585
OBT01087,Obat Blanditiis,TRX000094,1,48414,48414
OBT01468,Obat Modi,TRX000094,1,120846,120846
OBT01515,Obat Quidem,TRX000095,3,155264,465792
OBT01030,Obat Reprehenderit,TRX000095,1,12334,12334
OBT01002,Obat Molestias,TRX000096,1,143711,143711
OBT00771,Obat Explicabo,TRX000096,2,137987,275974
OBT00984,Obat Enim,TRX000097,1,135764,135764
OBT01053,Obat Tempora,TRX000097,2,123587,247174
OBT00016,Obat Quae,TRX000098,3,87288,261864
OBT00252,Obat Minus,TRX000098,2,184376,368752
OBT00718,Obat Id,TRX000098,3,45976,137928
OBT01986,Obat Debitis,TRX000098,2,154059,308118
OBT00717,Obat Ratione,TRX000099,2,57293,114586
OBT01548,Obat Recusandae,TRX000099,2,101686,203372
OBT00690,Obat Quas,TRX000099,3,184561,553683
OBT00806,Obat Iste,TRX000100,3,192485,577455
OBT00544,Obat Vero,TRX000100,2,87299,174598
OBT01509,Obat Quo,TRX000100,2,8221,16442
OBT00703,Obat Ad,TRX000100,1,176049,176049
OBT01314,Obat Est,TRX000100,1,37706,37706
OBT01089,Obat Saepe,TRX000101,2,11502,23004
OBT00638,Obat Quo,TRX000101,3,113969,341907
OBT00154,Obat Harum,TRX000101,2,169704,339408
OBT01136,Obat Consequatur,TRX000101,3,143386,430158
OBT00844,Obat Possimus,TRX000101,1,20154,20154
OBT01155,Obat Fuga,TRX000102,3,20443,61329
OBT00645,Obat Modi,TRX000102,3,81224,243672
OBT00984,Obat Enim,TRX000102,2,135764,271528
OBT00486,Obat Autem,TRX000102,1,174767,174767
OBT01299,Obat Officiis,TRX000102,1,25322,25322
OBT00360,Obat Inventore,TRX000103,3,34488,103464
OBT00539,Obat Excepturi,TRX000103,2,16864,33728
OBT00693,Obat Iusto,TRX000103,3,192485,577455
OBT01519,Obat Temporibus,TRX000103,2,72183,144366
OBT00709,Obat Temporibus,TRX000104,3,59318,177954
OBT00527,Obat Soluta,TRX000105,1,71810,71810
OBT01070,Obat Suscipit,TRX000105,2,28413,56826
OBT00562,Obat Similique,TRX000106,3,145083,435249
OBT01263,Obat Quo,TRX000107,2,183808,367616
OBT01750,Obat Cumque,TRX000107,2,139286,278572
OBT01790,Obat Commodi,TRX000107,3,91308,273924
OBT01990,Obat Ipsum,TRX000107,1,16446,16446
OBT00983,Obat Quasi,TRX000108,2,158171,316342
OBT01633,Obat Aliquid,TRX000108,3,150360,451080
OBT01398,Obat Necessitatibus,TRX000108,1,140867,140867
OBT01600,Obat Facilis,TRX000108,2,197567,395134
OBT00818,Obat Repudiandae,TRX000109,3,113372,340116
OBT01361,Obat Voluptate,TRX000109,3,163065,489195
OBT00538,Obat Ab,TRX000109,3,108011,324033
OBT00256,Obat Vel,TRX000109,1,7705,7705
OBT01965,Obat Recusandae,TRX000109,2,80474,160948
OBT01632,Obat Laboriosam,TRX000110,3,94081,282243
OBT00880,Obat Illo,TRX000110,3,84044,252132
OBT00517,Obat Magni,TRX000110,2,138864,277728
OBT00935,Obat Assumenda,TRX000110,2,169559,339118
OBT00767,Obat Tempora,TRX000111,3,164817,494451
OBT01118,Obat Similique,TRX000111,3,69300,207900
OBT01840,Obat Maiores,TRX000111,1,12891,12891
OBT01990,Obat Ipsum,TRX000111,2,16446,32892
OBT01273,Obat Reprehenderit,TRX000112,2,94556,189112
OBT01104,Obat Illo,TRX000112,1,18860,18860
OBT01865,Obat Quia,TRX000112,2,41473,82946
OBT00318,Obat Rem,TRX000112,1,78662,78662
OBT00801,Obat Eum,TRX000112,3,137388,412164
OBT00470,Obat Necessitatibus,TRX000113,1,115905,115905
OBT00160,Obat Quibusdam,TRX000114,1,46372,46372
OBT01929,Obat Fuga,TRX000114,2,39060,78120
OBT00949,Obat Doloremque,TRX000114,1,104002,104002
OBT00304,Obat Illum,TRX000115,1,127705,127705
OBT01162,Obat Optio,TRX000115,1,83125,83125
OBT00058,Obat Aperiam,TRX000115,1,112053,112053
OBT01286,Obat Dolorem,TRX000115,3,7510,22530
OBT01032,Obat Quod,TRX000116,1,42261,42261
OBT00414,Obat Quae,TRX000116,3,168149,504447
OBT00311,Obat Exercitationem,TRX000116,1,42170,42170
OBT00269,Obat Dolor,TRX000116,2,161551,323102
OBT00647,Obat Magni,TRX000117,3,132794,398382
OBT01682,Obat Natus,TRX000117,1,90899,90899
OBT01636,Obat Quaerat,TRX000117,2,56376,112752
OBT01180,Obat Eveniet,TRX000117,3,137231,411693
OBT00663,Obat Cumque,TRX000118,2,87798,175596
OBT00640,Obat Minima,TRX000118,3,198220,594660
OBT01721,Obat Provident,TRX000118,1,158087,158087
OBT01523,Obat Ea,TRX000118,2,194955,389910
OBT00103,Obat Sit,TRX000119,1,7062,7062
OBT00670,Obat Sapiente,TRX000119,2,35655,71310
OBT01861,Obat Fuga,TRX000119,2,158866,317732
OBT00505,Obat Ab,TRX000119,3,83750,251250
OBT01902,Obat Laudantium,TRX000120,3,106159,318477
OBT00006,Obat Quidem,TRX000121,1,177666,177666
OBT01343,Obat Similique,TRX000121,2,59810,119620
OBT00894,Obat Architecto,TRX000121,1,29332,29332
OBT01283,Obat Fuga,TRX000122,2,164589,329178
OBT01933,Obat Similique,TRX000122,3,191036,573108
OBT00861,Obat Earum,TRX000122,3,78342,235026
OBT01755,Obat Tempore,TRX000122,2,127565,255130
OBT00379,Obat Facere,TRX000123,1,154628,154628
OBT01032,Obat Quod,TRX000123,3,42261,126783
OBT01754,Obat Natus,TRX000123,1,123266,123266
OBT00969,Obat Assumenda,TRX000123,1,39095,39095
OBT00792,Obat Minima,TRX000123,3,37239,111717
OBT00594,Obat Ratione,TRX000124,2,9164,18328
OBT01093,Obat Enim,TRX000125,1,85962,85962
OBT00754,Obat Cupiditate,TRX000125,2,44630,89260
OBT00284,Obat Voluptatibus,TRX000125,1,16930,16930
OBT00383,Obat Iusto,TRX000126,1,69528,69528
OBT00379,Obat Facere,TRX000126,3,154628,463884
OBT00159,Obat Id,TRX000126,3,34052,102156
OBT01185,Obat Quas,TRX000126,2,88449,176898
OBT00177,Obat Et,TRX000126,2,160456,320912
OBT01697,Obat Ipsum,TRX000127,2,22006,44012
OBT01379,Obat Assumenda,TRX000127,2,182664,365328
OBT00507,Obat Officiis,TRX000127,1,142125,142125
OBT01891,Obat Pariatur,TRX000127,1,181917,181917
OBT00942,Obat Fuga,TRX000128,3,79589,238767
OBT00866,Obat Hic,TRX000129,3,110889,332667
OBT00564,Obat Dolore,TRX000129,3,6532,19596
OBT01633,Obat Aliquid,TRX000129,2,150360,300720
OBT01251,Obat Cumque,TRX000129,3,108626,325878
OBT01635,Obat Sunt,TRX000130,2,51803,103606
OBT01953,Obat Recusandae,TRX000130,1,163557,163557
OBT01802,Obat Exercitationem,TRX000131,3,73455,220365
OBT01676,Obat Sint,TRX000131,2,166488,332976
OBT00114,Obat Suscipit,TRX000131,3,88147,264441
OBT01928,Obat Beatae,TRX000131,2,59127,118254
OBT01520,Obat Rerum,TRX000132,2,98163,196326
OBT01973,Obat Odio,TRX000132,2,165701,331402
OBT01464,Obat Tenetur,TRX000132,3,186761,560283
OBT00383,Obat Iusto,TRX000132,2,69528,139056
OBT01126,Obat Iusto,TRX000132,2,110328,220656
OBT00690,Obat Quas,TRX000133,1,184561,184561
OBT01910,Obat Molestias,TRX000133,2,124187,248374
OBT00279,Obat Similique,TRX000133,3,97878,293634
OBT01226,Obat Dolorem,TRX000133,1,80825,80825
OBT01862,Obat Explicabo,TRX000134,2,11092,22184
OBT01889,Obat Explicabo,TRX000134,2,49937,99874
OBT00999,Obat Labore,TRX000134,1,38917,38917
OBT01533,Obat Totam,TRX000134,1,158229,158229
OBT00399,Obat Optio,TRX000134,3,12569,37707
OBT01491,Obat Ab,TRX000135,1,123859,123859
OBT01541,Obat Molestias,TRX000135,3,43174,129522
OBT01193,Obat In,TRX000135,3,171079,513237
OBT01850,Obat Delectus,TRX000135,2,97972,195944
OBT01865,Obat Quia,TRX000136,3,41473,124419
OBT01164,Obat Tenetur,TRX000136,3,30885,92655
OBT00297,Obat Nihil,TRX000136,2,157171,314342
OBT00335,Obat Similique,TRX000136,3,171894,515682
OBT00921,Obat Eaque,TRX000137,2,17512,35024
OBT01261,Obat At,TRX000137,1,137335,137335
OBT00615,Obat Excepturi,TRX000137,2,35528,71056
OBT00531,Obat Natus,TRX000137,2,9264,18528
OBT00837,Obat Inventore,TRX000138,1,21113,21113
OBT00492,Obat Minima,TRX000138,1,170035,170035
OBT00107,Obat Nostrum,TRX000138,1,28658,28658
OBT00318,Obat Rem,TRX000139,2,78662,157324
OBT01566,Obat Mollitia,TRX000139,2,22931,45862
OBT00800,Obat Nobis,TRX000139,1,80171,80171
OBT00903,Obat Ducimus,TRX000140,1,12311,12311
OBT01668,Obat Ullam,TRX000141,1,187020,187020
OBT00484,Obat Quam,TRX000142,1,182324,182324
OBT00270,Obat Debitis,TRX000142,1,72168,72168
OBT01696,Obat Accusantium,TRX000142,3,166188,498564
OBT00533,Obat Vel,TRX000143,2,199121,398242
OBT00900,Obat Quis,TRX000143,1,171641,171641
OBT01186,Obat A,TRX000144,3,126850,380550
OBT01870,Obat Eaque,TRX000144,1,163073,163073
OBT01094,Obat Vel,TRX000144,1,152074,152074
OBT01521,Obat Nihil,TRX000144,1,115364,115364
OBT00613,Obat Sit,TRX000145,1,115593,115593
OBT00971,Obat Corporis,TRX000146,2,61304,122608
OBT01885,Obat Non,TRX000146,2,123367,246734
OBT00704,Obat Neque,TRX000147,3,197566,592698
OBT00589,Obat Ducimus,TRX000148,2,37791,75582
OBT00420,Obat Accusamus,TRX000148,1,38900,38900
OBT01187,Obat In,TRX000148,3,149997,449991
OBT00413,Obat Vero,TRX000148,2,177011,354022
OBT00895,Obat Provident,TRX000149,1,139131,139131
OBT00904,Obat Numquam,TRX000149,2,146540,293080
OBT00857,Obat Laudantium,TRX000149,1,199693,199693
OBT00146,Obat Nostrum,TRX000149,1,53166,53166
OBT00128,Obat Autem,TRX000149,1,47033,47033
OBT00540,Obat Sapiente,TRX000150,2,26834,53668
OBT00636,Obat Cupiditate,TRX000150,1,191933,191933
OBT01979,Obat Incidunt,TRX000150,1,197215,197215
OBT00252,Obat Minus,TRX000150,2,184376,368752
OBT00596,Obat Magni,TRX000151,3,54341,163023
OBT00927,Obat Quis,TRX000151,2,198163,396326
OBT01828,Obat Consectetur,TRX000151,2,125953,251906
OBT01635,Obat Sunt,TRX000151,1,51803,51803
OBT01082,Obat Aliquid,TRX000151,3,121155,363465
OBT00259,Obat Asperiores,TRX000152,1,89736,89736
OBT00511,Obat Neque,TRX000152,1,17511,17511
OBT00432,Obat Quis,TRX000152,1,29261,29261
OBT00921,Obat Eaque,TRX000152,1,17512,17512
OBT00541,Obat Error,TRX000152,3,114117,342351
OBT01011,Obat Assumenda,TRX000153,3,101818,305454
OBT00539,Obat Excepturi,TRX000153,1,16864,16864
OBT00275,Obat Sed,TRX000153,3,18661,55983
OBT01272,Obat Accusamus,TRX000153,2,89315,178630
OBT01205,Obat Nesciunt,TRX000154,1,84852,84852
OBT01961,Obat Explicabo,TRX000154,3,156029,468087
OBT00957,Obat Quasi,TRX000154,1,55477,55477
OBT00019,Obat Ab,TRX000154,3,21667,65001
OBT01639,Obat Magnam,TRX000155,1,73626,73626
OBT01502,Obat Officia,TRX000156,1,124033,124033
OBT01624,Obat Ad,TRX000156,1,57198,57198
OBT01555,Obat Possimus,TRX000157,1,20025,20025
OBT01732,Obat Et,TRX000157,1,116417,116417
OBT01620,Obat Doloribus,TRX000157,1,158534,158534
OBT00023,Obat Ex,TRX000157,1,177341,177341
OBT00940,Obat Id,TRX000158,3,96838,290514
OBT00210,Obat Vero,TRX000158,1,101448,101448
OBT01117,Obat Fugiat,TRX000159,3,58950,176850
OBT00506,Obat Modi,TRX000159,2,70183,140366
OBT01729,Obat Iure,TRX000160,2,108782,217564
OBT00994,Obat Maiores,TRX000160,3,137588,412764
