Kode_Item,Nama_Item,Kandungan,Tipe_Golongan_Obat,Kategori_Obat,HNA,Satuan
OBT00159,Obat Id,Ibuprofen 403mg,Keras,Vitamin,34052,sirup
OBT00160,Obat Quibusdam,Ibuprofen 159mg,Bebas Terbatas,Antibiotik,46372,tablet
OBT00161,Obat Natus,Metformin 853mg,Bebas,Antidiabetik,70432,botol
OBT00162,Obat Inventore,Metformin 162mg,Keras,Antidiabetik,140362,sirup
OBT00163,Obat Adipisci,Amoxicillin 158mg,Bebas Terbatas,Antihistamin,192056,tablet
OBT00164,Obat Laudantium,Paracetamol 698mg,Bebas,Antidiabetik,175178,kapsul
OBT00165,Obat Cumque,Cetirizine 614mg,Keras,Analgesik,39103,sirup
OBT00166,Obat Excepturi,Metformin 261mg,Bebas,Antibiotik,160717,sirup
OBT00167,Obat Accusantium,Paracetamol 620mg,Narkotika,Antidiabetik,184766,kapsul
OBT00168,Obat Dolore,Paracetamol 971mg,Keras,Vitamin,112561,kapsul
OBT00169,Obat Similique,Ibuprofen 170mg,Bebas Terbatas,Antibiotik,88728,tablet
OBT00170,Obat Ipsam,Metformin 169mg,Bebas Terbatas,Antidiabetik,123355,kapsul
OBT00171,Obat Earum,Ibuprofen 513mg,Bebas,Analgesik,130400,kapsul
OBT00172,Obat Voluptatum,Paracetamol 683mg,Bebas Terbatas,Antihistamin,197720,botol
OBT00173,Obat Aut,Ibuprofen 692mg,Bebas Terbatas,Antihistamin,39998,sirup
OBT00174,Obat Maiores,Metformin 140mg,Keras,Antibiotik,73335,kapsul
OBT00175,Obat Possimus,Metformin 183mg,Bebas,Analgesik,50476,botol
OBT00176,Obat Reprehenderit,Cetirizine 773mg,Bebas Terbatas,Analgesik,185215,tablet
OBT00177,Obat Et,Metformin 678mg,Narkotika,Analgesik,160456,tablet
OBT00178,Obat Dolores,Metformin 423mg,Keras,Antidiabetik,90873,botol
OBT00179,Obat Dicta,Amoxicillin 309mg,Bebas Terbatas,Antihistamin,78871,tablet
OBT00180,Obat Quidem,Amoxicillin 344mg,Bebas Terbatas,Analgesik,57078,kapsul
OBT00181,Obat Voluptatibus,Amoxicillin 505mg,Bebas Terbatas,Vitamin,27124,tablet
OBT00182,Obat Quos,Ibuprofen 787mg,Keras,Antidiabetik,113657,kapsul
OBT00183,Obat Vero,Amoxicillin 568mg,Keras,Vitamin,101364,kapsul
OBT00184,Obat Totam,Amoxicillin 869mg,Bebas,Vitamin,52681,kapsul
OBT00185,Obat Voluptas,Paracetamol 109mg,Keras,Antibiotik,108152,tablet
OBT00186,Obat Dolorem,Cetirizine 736mg,Bebas Terbatas,Antidiabetik,103912,kapsul
OBT00187,Obat Deserunt,Metformin 202mg,Bebas Terbatas,Vitamin,154524,kapsul
OBT00188,Obat Repudiandae,Paracetamol 650mg,Narkotika,Antidiabetik,63847,kapsul
OBT00189,Obat Labore,Ibuprofen 618mg,Keras,Analgesik,10435,tablet
OBT00190,Obat Iusto,Amoxicillin 235mg,Bebas Terbatas,Antibiotik,11021,botol
OBT00191,Obat Velit,Amoxicillin 170mg,Narkotika,Antihistamin,151415,botol
OBT00192,Obat Cupiditate,Ibuprofen 478mg,Bebas,Vitamin,174635,sirup
OBT00193,Obat Et,Amoxicillin 261mg,Bebas,Antibiotik,165432,kapsul
OBT00194,Obat Aliquid,Cetirizine 953mg,Bebas,Antibiotik,169266,kapsul
OBT00195,Obat Omnis,Metformin 820mg,Bebas Terbatas,Antibiotik,64954,kapsul
OBT00196,Obat Odit,Amoxicillin 726mg,Bebas Terbatas,Antibiotik,28324,botol
OBT00197,Obat A,Metformin 108mg,Bebas,Analgesik,126221,kapsul
OBT00198,Obat Pariatur,Metformin 406mg,Narkotika,Antidiabetik,56974,kapsul
OBT00199,Obat Vero,Paracetamol 999mg,Bebas,Antihistamin,73624,sirup
OBT00200,Obat Quaerat,Ibuprofen 370mg,Keras,Antihistamin,188831,sirup
OBT00201,Obat Placeat,Paracetamol 209mg,Bebas Terbatas,Antidiabetik,49238,botol
OBT00202,Obat Possimus,Metformin 259mg,Bebas Terbatas,Antihistamin,18050,kapsul
OBT00203,Obat Delectus,Amoxicillin 388mg,Keras,Antibiotik,110128,sirup
OBT00204,Obat Doloribus,Metformin 315mg,Bebas Terbatas,Analgesik,167006,botol
OBT00205,Obat Consequuntur,Amoxicillin 308mg,Keras,Antibiotik,117434,tablet
OBT00206,Obat Maiores,Amoxicillin 617mg,Bebas,Antibiotik,162389,sirup
OBT00207,Obat Ratione,Cetirizine 357mg,Bebas,Analgesik,73198,botol
OBT00208,Obat Eveniet,Paracetamol 194mg,Bebas Terbatas,Vitamin,44125,botol
OBT00209,Obat Praesentium,Cetirizine 949mg,Bebas Terbatas,Antihistamin,28346,kapsul
OBT00210,Obat Vero,0,Bebas,Analgesik,101448,botol
OBT00211,Obat Ea,Paracetamol 441mg,Keras,Antidiabetik,49596,botol
OBT00212,Obat Maiores,Ibuprofen 752mg,Bebas,Antidiabetik,153699,botol
OBT00213,Obat Aspernatur,Amoxicillin 265mg,Keras,Antidiabetik,35762,botol
OBT00214,Obat Libero,Cetirizine 664mg,Narkotika,Vitamin,8700,kapsul
OBT00215,Obat Ipsa,Cetirizine 674mg,Bebas,Analgesik,193372,botol
OBT00216,Obat Dolore,Paracetamol 214mg,Keras,Vitamin,142845,tablet
OBT00217,Obat Unde,Paracetamol 807mg,Keras,Antidiabetik,119074,botol
OBT00218,Obat In,Ibuprofen 658mg,Keras,Antibiotik,123936,botol
OBT00219,Obat Commodi,Paracetamol 954mg,Bebas Terbatas,Antibiotik,181582,tablet
OBT00220,Obat Doloremque,Amoxicillin 696mg,Bebas Terbatas,Vitamin,134538,sirup
OBT00221,Obat Ducimus,Metformin 251mg,Narkotika,Antidiabetik,36067,kapsul
OBT00222,Obat Quibusdam,Cetirizine 230mg,Narkotika,Antidiabetik,63847,kapsul
OBT00223,Obat Fugit,Paracetamol 415mg,Keras,Antidiabetik,192056,sirup
OBT00224,Obat Suscipit,Amoxicillin 915mg,Bebas Terbatas,Antidiabetik,58253,botol
OBT00225,Obat Mollitia,Paracetamol 466mg,Keras,Analgesik,54950,botol
OBT00226,Obat Quod,Ibuprofen 798mg,Bebas Terbatas,Vitamin,74783,sirup
OBT00227,Obat Officiis,Ibuprofen 782mg,Bebas Terbatas,Vitamin,80487,botol
OBT00228,Obat Alias,Paracetamol 462mg,Narkotika,Analgesik,134543,sirup
OBT00229,Obat Fugiat,Metformin 995mg,Keras,Antibiotik,105158,botol
OBT00230,Obat Quos,Cetirizine 735mg,Keras,Vitamin,39130,botol
OBT00231,Obat Tempore,Ibuprofen 342mg,Bebas Terbatas,Antihistamin,118064,tablet
OBT00232,Obat Sequi,Ibuprofen 919mg,Bebas Terbatas,Vitamin,59160,sirup
OBT00233,Obat Nobis,Ibuprofen 522mg,Bebas,Vitamin,162308,kapsul
OBT00234,Obat A,Paracetamol 283mg,Narkotika,Antibiotik,61509,botol
OBT00235,Obat Quibusdam,Amoxicillin 901mg,Bebas,Analgesik,79178,kapsul
OBT00236,Obat Error,Cetirizine 921mg,Bebas Terbatas,Antibiotik,195502,kapsul
OBT00237,Obat Fugiat,Ibuprofen 373mg,Keras,Antibiotik,182520,kapsul
OBT00238,Obat Iste,Ibuprofen 906mg,Bebas Terbatas,Analgesik,54640,tablet
OBT00239,Obat Hic,Paracetamol 491mg,Bebas,Antihistamin,114662,tablet
OBT00240,Obat Eaque,Paracetamol 979mg,Narkotika,Analgesik,52282,sirup
OBT00241,Obat At,Cetirizine 327mg,Bebas Terbatas,Antibiotik,112092,botol
OBT00242,Obat Officiis,Ibuprofen 936mg,Keras,Analgesik,43258,botol
OBT00243,Obat Ratione,Cetirizine 458mg,Bebas,Vitamin,12542,botol
OBT00244,Obat Reprehenderit,Amoxicillin 940mg,Bebas Terbatas,Vitamin,81072,botol
OBT00245,Obat Vel,Ibuprofen 328mg,Keras,Antihistamin,73629,sirup
OBT00246,Obat Quod,Paracetamol 775mg,Keras,Antihistamin,66731,botol
OBT00247,Obat Quae,Ibuprofen 508mg,Bebas Terbatas,Analgesik,166921,botol
OBT00248,Obat Quaerat,Amoxicillin 385mg,Bebas,Analgesik,123220,sirup
OBT00249,Obat Explicabo,Paracetamol 891mg,Keras,Analgesik,70095,tablet
OBT00250,Obat Dolore,Amoxicillin 459mg,Narkotika,Antidiabetik,101898,botol
OBT00251,Obat Neque,Metformin 509mg,Bebas,Antibiotik,157804,tablet
OBT00252,Obat Minus,Metformin 439mg,Keras,Antibiotik,184376,tablet
OBT00253,Obat At,Paracetamol 218mg,Bebas Terbatas,Antihistamin,174668,botol
OBT00254,Obat Autem,Amoxicillin 282mg,Bebas Terbatas,Vitamin,125104,kapsul
OBT00255,Obat Sit,Metformin 371mg,Bebas,Vitamin,27475,kapsul
OBT00256,Obat Vel,Paracetamol 211mg,Keras,Vitamin,7705,botol
OBT00257,Obat Exercitationem,Metformin 544mg,Keras,Vitamin,127914,sirup
OBT00258,Obat Repellat,Amoxicillin 846mg,Bebas,Antibiotik,39918,sirup
OBT00259,Obat Asperiores,Amoxicillin 546mg,Bebas,Antidiabetik,89736,botol
OBT00260,Obat Itaque,Metformin 623mg,Bebas,Vitamin,186671,sirup
OBT00261,Obat Atque,Paracetamol 494mg,Narkotika,Antihistamin,109216,tablet
OBT00262,Obat Illum,Metformin 294mg,Narkotika,Analgesik,185054,botol
OBT00263,Obat Dolorem,Amoxicillin 145mg,Narkotika,Analgesik,60631,botol
OBT00264,Obat Rem,Cetirizine 101mg,Bebas Terbatas,Antihistamin,191996,kapsul
OBT00265,Obat Minus,Metformin 925mg,Narkotika,Antihistamin,105531,kapsul
OBT00266,Obat Unde,Metformin 803mg,Narkotika,Antihistamin,190716,botol
OBT00267,Obat Dolorum,Ibuprofen 472mg,Narkotika,Antidiabetik,115963,tablet
OBT00268,Obat Itaque,Cetirizine 171mg,Keras,Analgesik,197965,sirup
OBT00269,Obat Dolor,Amoxicillin 738mg,Narkotika,Antidiabetik,161551,tablet
OBT00270,Obat Debitis,Amoxicillin 779mg,Bebas,Vitamin,72168,kapsul
OBT00271,Obat Repudiandae,Paracetamol 837mg,Narkotika,Analgesik,24151,sirup
OBT00272,Obat Repellat,Amoxicillin 619mg,Bebas Terbatas,Antihistamin,29976,botol
OBT00273,Obat Consequatur,Amoxicillin 782mg,Bebas Terbatas,Antidiabetik,151014,kapsul
OBT00274,Obat Sequi,Cetirizine 434mg,Narkotika,Antibiotik,20401,sirup
OBT00275,Obat Sed,Cetirizine 813mg,Bebas,Analgesik,18661,kapsul
OBT00276,Obat Reprehenderit,Amoxicillin 667mg,Bebas,Antihistamin,92257,kapsul
OBT00277,Obat Accusantium,Ibuprofen 296mg,Keras,Antihistamin,66562,tablet
OBT00278,Obat Consectetur,Cetirizine 780mg,Bebas,Vitamin,128452,tablet
OBT00279,Obat Similique,Cetirizine 793mg,Keras,Antidiabetik,97878,tablet
OBT00280,Obat Numquam,Ibuprofen 730mg,Keras,Vitamin,163957,botol
OBT00281,Obat Reprehenderit,Metformin 408mg,Bebas,Antibiotik,180843,botol
OBT00282,Obat Labore,Cetirizine 661mg,Bebas,Antibiotik,161822,tablet
OBT00283,Obat Unde,Paracetamol 411mg,Keras,Vitamin,191008,kapsul
OBT00284,Obat Voluptatibus,Amoxicillin 315mg,Bebas Terbatas,Analgesik,16930,botol
OBT00285,Obat Omnis,Cetirizine 904mg,Narkotika,Analgesik,6405,kapsul
OBT00286,Obat Ex,Metformin 721mg,Bebas Terbatas,Vitamin,71494,botol
OBT00287,Obat Enim,Amoxicillin 576mg,Bebas,Vitamin,137262,sirup
OBT00288,Obat Minima,Cetirizine 552mg,Bebas,Analgesik,167439,sirup
OBT00289,Obat Repudiandae,Ibuprofen 623mg,Keras,Antidiabetik,104860,botol
OBT00290,Obat Officiis,Cetirizine 912mg,Narkotika,Vitamin,84300,sirup
OBT00291,Obat Ex,Ibuprofen 774mg,Bebas,Antihistamin,108467,botol
OBT00292,Obat Necessitatibus,Paracetamol 390mg,Narkotika,Antidiabetik,180967,tablet
OBT00293,Obat Error,Metformin 779mg,Bebas Terbatas,Vitamin,102229,tablet
OBT00294,Obat Quam,Metformin 443mg,Narkotika,Antihistamin,39665,sirup
OBT00295,Obat Earum,Paracetamol 938mg,Bebas Terbatas,Antihistamin,151685,kapsul
OBT00296,Obat Iure,Ibuprofen 788mg,Bebas,Vitamin,15780,sirup
OBT00297,Obat Nihil,Amoxicillin 330mg,Bebas,Vitamin,157171,kapsul
OBT00298,Obat Nemo,Ibuprofen 250mg,Keras,Vitamin,52021,botol
OBT00299,Obat Eaque,Paracetamol 147mg,Bebas Terbatas,Antihistamin,73233,sirup
OBT00300,Obat Eligendi,Ibuprofen 586mg,Bebas Terbatas,Antibiotik,49529,tablet
OBT00301,Obat Quos,Metformin 970mg,Narkotika,Vitamin,137054,kapsul
OBT00302,Obat Repudiandae,Paracetamol 566mg,Keras,Vitamin,134195,botol
OBT00303,Obat Cum,Cetirizine 744mg,Keras,Antidiabetik,93913,tablet
OBT00304,Obat Illum,Metformin 299mg,Keras,Vitamin,127705,tablet
OBT00305,Obat Magnam,Cetirizine 606mg,Bebas Terbatas,Antidiabetik,39581,tablet
OBT00306,Obat Itaque,Cetirizine 349mg,Bebas,Antidiabetik,28500,botol
